Feature,Importance Score
Number of links,0.0
Highway type: secondary,0.0
Highway type: living_street,0.0
Highway type: tertiary,0.0
Highway type: unclassified,0.0
Highway type: primary,0.0
Highway type: residential,0.0
Edge length,0.0
Mask feature,0.0
Edge ratio,0.0
Number of secondary roads,0.0
Number of tertiary roads,0.0
Number of unclassified roads,0.0
Number of primary roads,0.0
Number of residential roads,0.0
Number of U-turns,0.0
Number of right turns,0.0
Number of left turns,0.0
Total length,0.0
Number of living_street roads,0.0
neighbor mask,0.0
