Feature,Importance Score
Number of links,0.4558789
Number of left turns,0.34526664
Total length,0.16491741
Number of tertiary roads,0.14420444
Number of secondary roads,0.03895855
Number of residential roads,0.032812893
Highway type: unclassified,0.028412044
Number of primary roads,0.024484575
Highway type: primary,0.023814797
Number of living_street roads,0.014980614
Mask feature,0.014872313
neighbor mask,0.014725983
Highway type: residential,0.013790965
Highway type: living_street,0.012977004
Number of right turns,0.010359824
Number of unclassified roads,0.008371949
Highway type: tertiary,0.007358074
Edge length,0.003812313
Number of U-turns,0.0035609603
Edge ratio,0.0035588145
Highway type: secondary,0.0031769872
