Feature,Importance Score
Highway type: primary,0.78501225
Highway type: secondary,0.54404163
Highway type: unclassified,0.536293
Number of right turns,0.4056511
Number of residential roads,0.36889076
Edge ratio,0.33886528
Number of secondary roads,0.33301067
Number of left turns,0.32885742
Number of links,0.32298756
Highway type: residential,0.31630802
Highway type: tertiary,0.29289627
Mask feature,0.22271347
neighbor mask,0.20390606
Number of living_street roads,0.20040798
Total length,0.17875195
Number of primary roads,0.16481781
Number of unclassified roads,0.14881897
Number of U-turns,0.14859676
Number of tertiary roads,0.14347935
Highway type: living_street,0.06628609
Edge length,0.03837776
