Feature,Importance Score
Edge ratio,1.9483485
Highway type: secondary,1.8949513
Number of residential roads,1.6928988
Highway type: primary,1.42698
Number of left turns,1.2277889
Highway type: residential,1.0287304
Number of unclassified roads,0.9730158
Number of right turns,0.8158617
Highway type: tertiary,0.73494434
Number of living_street roads,0.71315575
Mask feature,0.68335724
Number of links,0.55545235
Highway type: unclassified,0.53440857
Highway type: living_street,0.4433179
Number of tertiary roads,0.3926921
neighbor mask,0.3866949
Number of secondary roads,0.31750154
Edge length,0.21895313
Number of U-turns,0.12291956
Total length,0.11967754
Number of primary roads,0.06867695
