Feature,Importance Score
Number of links,0.008202612
Number of residential roads,0.003936112
Number of tertiary roads,0.0007597804
Number of right turns,0.0002605319
Total length,0.00019651651
Highway type: primary,0.00015807152
Number of secondary roads,6.4730644e-05
Edge length,5.543232e-05
Highway type: tertiary,4.6491623e-05
Highway type: secondary,2.4080276e-05
Number of primary roads,2.3007393e-05
Number of left turns,1.847744e-05
Highway type: residential,1.8000603e-05
Number of unclassified roads,1.3709068e-05
Highway type: unclassified,1.347065e-05
Edge ratio,1.2636185e-05
Number of U-turns,7.1525574e-06
Mask feature,6.198883e-06
Number of living_street roads,5.2452087e-06
Highway type: living_street,4.6491623e-06
neighbor mask,3.4570694e-06
