Feature,Importance Score
Number of residential roads,0.47888274193343905
Number of tertiary roads,0.32597742779406147
Number of links,0.24006454285236406
Number of secondary roads,0.1937658325727905
Highway type: secondary,0.19223493224955862
Number of unclassified roads,0.1836642339880541
Mask feature,0.17686779651021858
Highway type: residential,0.16774665154124352
Number of right turns,0.16416090869883493
Highway type: living_street,0.15631249128752941
Number of living_street roads,0.15055747994056712
Edge length,0.14417528634109006
Total length,0.12082797563797987
Highway type: tertiary,0.1168005310516424
Highway type: unclassified,0.08137384034343463
neighbor mask,0.07592092062291914
Highway type: primary,0.06943087379396493
Number of left turns,0.043203480313478045
Number of U-turns,0.033671959617559435
Number of primary roads,0.018401215166077824
Edge ratio,0.012087557173594722
